Marker_Type,Estimation_Type,Bin_Type,Bin_Range,Mean_Translation_Error,Mean_Rotation_Error_deg,Detection_Rate,Sample_Count
1p,single,Distance,0-25,,,,0
1p,single,Distance,25-50,,,,0
1p,single,Distance,50-75,5.160646797355214,3.0995074459731202,0.75,180
1p,single,Distance,75-100,3.8702030247036117,2.9208175563816208,0.64,225
1p,single,Distance,100-125,4.221009457720631,3.373013817148102,0.6303030303030303,495
1p,single,Distance,125-150,3.9389698070580565,3.6792446541541795,0.5897435897435898,585
1p,single,Distance,150-175,4.318503907821201,4.9693024952754765,0.6506172839506172,810
1p,single,Distance,175-200,4.4543252899999874,7.274627092533871,0.694019471488178,719
1p,single,Distance,200-225,4.167726645808157,7.071275675714663,0.65,720
1p,single,Distance,225-250,4.2769460803811965,10.28081545309369,0.5802469135802469,405
1p,single,Distance,250-275,5.171477861450485,11.671872380778668,0.5444444444444444,180
1p,single,Distance,275-300,,,,0
1p,single,Angle,0-5,,,,0
1p,single,Angle,5-10,,,,0
1p,single,Angle,10-15,10.843179806785496,1.6733912789533625,0.022222222222222223,45
1p,single,Angle,15-20,5.534771785925247,6.773452926282209,0.225,360
1p,single,Angle,20-25,3.2472823351712767,4.4789466669902716,0.15,180
1p,single,Angle,25-30,5.893647728695722,10.415642564554524,0.38222222222222224,225
1p,single,Angle,30-35,6.236052165614,7.062044589066549,0.6407407407407407,270
1p,single,Angle,35-40,4.973270065814173,6.726360979183189,0.6472222222222223,360
1p,single,Angle,40-45,4.811961398246997,8.232178986843527,0.6833333333333333,360
1p,single,Angle,45-50,4.5974786538702475,7.352743024812517,0.782716049382716,405
1p,single,Angle,50-55,4.146396911812767,6.54462707107417,0.688195991091314,449
1p,single,Angle,55-60,4.031729063991763,6.6096608345278165,0.7611111111111111,540
1p,single,Angle,60-65,3.7795866159834843,3.2752197763215727,0.7358024691358025,405
1p,single,Angle,65-70,3.367208244612528,3.231691073735582,0.7833333333333333,180
1p,single,Angle,70-75,3.511012567460434,3.1382132863315,0.8222222222222222,225
1p,single,Angle,75-80,3.2789502600141587,3.214360020452966,0.8333333333333334,180
1p,single,Angle,80-85,2.644253882129556,3.1773844845991523,0.7777777777777778,135
1p,single,Angle,85-90,,,,0
2e,multi_mean,Distance,0-25,,,,0
2e,multi_mean,Distance,25-50,,,,0
2e,multi_mean,Distance,50-75,7.784368134859431,3.266720790715226,0.8833333333333333,180
2e,multi_mean,Distance,75-100,5.761737058550107,4.1591568392566876,0.7511111111111111,225
2e,multi_mean,Distance,100-125,5.837176376378657,7.151198247919412,0.692929292929293,495
2e,multi_mean,Distance,125-150,5.761119769787797,9.651156074577939,0.6564102564102564,585
2e,multi_mean,Distance,150-175,6.241532116908563,17.568653048781567,0.7358024691358025,810
2e,multi_mean,Distance,175-200,6.504967831191882,25.082248496022302,0.8069444444444445,720
2e,multi_mean,Distance,200-225,5.973232858533339,28.69323013332142,0.8861111111111111,720
2e,multi_mean,Distance,225-250,7.185702350018541,39.46773208314548,0.8222222222222222,405
2e,multi_mean,Distance,250-275,9.252989270460969,40.87786804309205,0.7277777777777777,180
2e,multi_mean,Distance,275-300,,,,0
2e,multi_mean,Angle,0-5,,,,0
2e,multi_mean,Angle,5-10,,,,0
2e,multi_mean,Angle,10-15,11.477333223214115,79.47212426433639,0.06666666666666667,45
2e,multi_mean,Angle,15-20,6.179204464244564,19.319944505870467,0.28888888888888886,360
2e,multi_mean,Angle,20-25,4.405047671488779,5.020304618516477,0.21666666666666667,180
2e,multi_mean,Angle,25-30,7.791026685041045,12.689725835099095,0.49777777777777776,225
2e,multi_mean,Angle,30-35,8.464675534047828,20.56552433893661,0.7222222222222222,270
2e,multi_mean,Angle,35-40,7.211480527816683,21.701329765429172,0.7777777777777778,360
2e,multi_mean,Angle,40-45,7.4505899255174635,22.898477710777104,0.7888888888888889,360
2e,multi_mean,Angle,45-50,6.960629672990163,26.992772077224487,0.8666666666666667,405
2e,multi_mean,Angle,50-55,6.520796210295942,25.582622393235724,0.8377777777777777,450
2e,multi_mean,Angle,55-60,6.585589280856786,24.86766062187206,0.9148148148148149,540
2e,multi_mean,Angle,60-65,5.792842604230631,23.885088880181577,0.9333333333333333,405
2e,multi_mean,Angle,65-70,5.198274279880094,14.195238154669,1.0,180
2e,multi_mean,Angle,70-75,5.098950045712267,12.435644433813012,0.9866666666666667,225
2e,multi_mean,Angle,75-80,4.825457925768335,11.353006638960771,1.0,180
2e,multi_mean,Angle,80-85,4.097197384575899,7.279297934277779,1.0,135
2e,multi_mean,Angle,85-90,,,,0
